cipher_symbol,letter
1,I
10,L
100,G
101,E
102,T
103,E
104,T
105,D
106,T
107,U
108,T
109,A
11,H
110,H
111,E
112,L
113,T
114,N
115,A
116,S
117,H
118,D
119,L
12,T
120,E
121,M
122,E
123,R
124,Y
125,R
126,R
127,C
128,E
129,E
13,O
130,T
131,E
132,E
133,T
134,H
135,L
136,N
137,N
138,H
139,A
14,S
140,T
141,F
142,M
143,G
144,A
145,B
146,O
147,I
148,Q
149,R
15,A
150,U
151,F
152,N
153,K
154,H
155,E
156,E
157,G
158,S
159,L
16,R
160,E
161,I
162,C
163,C
164,N
165,H
166,S
167,I
168,R
169,S
17,L
170,S
171,S
172,I
173,A
174,R
175,E
176,H
177,T
178,C
179,O
18,T
180,N
181,D
182,S
183,U
184,K
185,O
186,F
187,O
188,N
189,E
19,R
190,W
191,E
192,U
193,S
194,H
195,B
196,T
197,W
198,H
199,N
2,G
20,T
200,P
201,Y
202,E
203,T
204,D
205,Y
206,A
207,E
208,R
209,U
21,R
210,T
211,G
212,O
213,A
214,T
215,U
216,N
217,I
218,E
219,O
22,N
220,P
221,A
222,D
223,R
224,D
225,T
226,D
227,T
228,I
229,R
23,U
230,F
231,M
232,E
233,R
234,I
235,N
236,M
237,P
238,T
239,S
24,A
240,I
241,H
242,E
243,Z
244,D
245,E
246,Y
247,W
248,L
249,T
25,D
250,T
251,I
252,S
253,L
254,N
255,O
256,W
257,E
258,N
259,S
26,E
260,H
27,I
28,U
29,X
3,H
30,S
31,T
32,O
33,A
34,O
35,O
36,O
37,L
38,N
39,H
4,O
40,N
41,S
42,A
43,T
44,H
45,D
46,F
47,T
48,E
49,S
5,W
50,J
51,E
52,K
53,A
54,L
55,E
56,A
57,L
58,G
59,A
6,E
60,B
61,P
62,O
63,L
64,L
65,A
66,P
67,I
68,A
69,H
7,E
70,T
71,N
72,B
73,V
74,O
75,E
76,A
77,E
78,A
79,U
8,V
80,I
81,O
82,A
83,E
84,O
85,I
86,H
87,Y
88,O
89,O
9,I
90,A
91,E
92,S
93,E
94,T
95,F
96,I
97,D
98,C
99,E
