cipher_symbol,letter
1,O
10,T
100,Q
101,A
102,N
103,S
104,T
105,E
106,S
107,U
108,N
109,A
11,A
110,L
111,U
112,I
113,I
114,D
115,R
116,D
117,N
118,I
119,E
12,A
120,A
121,E
122,H
123,S
124,Y
125,J
126,T
127,N
128,T
129,O
13,A
130,M
131,E
132,T
133,E
134,I
135,C
136,T
137,T
138,O
139,B
14,I
140,N
141,C
142,L
143,N
144,I
145,D
146,D
147,N
148,O
149,S
15,M
150,E
151,N
152,S
153,O
154,H
155,V
156,M
157,I
158,T
159,E
16,P
160,O
161,E
162,P
163,O
164,E
165,R
166,W
167,B
168,R
169,E
17,H
170,L
171,I
172,L
173,N
174,O
18,O
19,E
2,X
20,A
21,B
22,Y
23,O
24,S
25,O
26,R
27,O
28,T
29,N
3,T
30,M
31,H
32,E
33,U
34,C
35,T
36,E
37,D
38,H
39,R
4,H
40,L
41,E
42,N
43,A
44,E
45,F
46,U
47,Y
48,O
49,F
5,W
50,G
51,S
52,E
53,U
54,D
55,E
56,G
57,H
58,W
59,I
6,S
60,E
61,R
62,S
63,R
64,D
65,Y
66,F
67,A
68,R
69,S
7,T
70,W
71,E
72,H
73,T
74,H
75,I
76,Z
77,T
78,N
79,T
8,A
80,A
81,I
82,F
83,A
84,K
85,A
86,L
87,R
88,U
89,L
9,T
90,G
91,T
92,L
93,E
94,I
95,O
96,A
97,A
98,I
99,K
