cipher_symbol,letter
1,N
10,D
100,A
101,U
102,R
103,O
104,F
105,G
106,T
107,B
108,H
109,N
11,V
110,N
111,I
112,R
113,F
114,X
115,E
116,R
117,Z
118,I
119,O
12,D
120,E
121,E
122,C
123,I
124,M
125,A
126,R
127,R
128,O
129,A
13,I
130,L
131,E
132,E
133,Y
134,L
135,I
136,E
137,L
138,M
139,R
14,T
140,M
141,N
142,M
143,I
144,T
145,G
146,T
147,A
148,S
149,S
15,R
150,T
151,A
152,I
153,C
154,S
155,H
156,K
157,N
158,S
159,M
16,R
160,L
161,O
162,N
163,I
164,E
165,A
166,N
167,E
168,X
169,A
17,Y
170,D
171,B
172,E
173,C
174,S
175,L
176,O
177,R
178,D
179,N
18,D
180,P
181,I
182,D
183,T
184,H
185,T
186,A
187,O
188,I
189,L
19,A
190,D
191,A
192,B
193,N
194,L
195,E
196,L
197,A
198,C
199,E
2,C
20,D
200,S
201,R
202,E
203,E
204,W
205,D
206,R
207,C
208,T
209,N
21,E
210,G
211,E
212,C
213,I
214,B
215,U
216,L
217,F
218,O
219,I
22,I
220,S
221,E
222,D
223,R
224,A
225,E
226,A
227,E
228,E
229,P
23,T
230,F
231,F
232,T
233,N
234,P
235,H
236,I
237,I
238,O
239,F
24,R
240,E
241,S
242,F
243,R
244,O
245,L
246,V
247,O
248,P
249,N
25,N
250,V
251,E
252,E
253,O
254,Y
255,N
256,W
257,O
258,N
259,S
26,E
260,A
261,H
262,A
263,O
264,N
265,I
266,L
267,C
268,M
269,F
27,T
270,R
271,I
272,Y
273,N
274,A
275,R
276,N
277,N
278,I
279,E
28,O
280,E
281,B
282,T
283,H
284,N
285,E
286,E
287,M
288,E
289,E
29,N
290,O
291,N
292,R
293,S
294,A
295,D
296,E
297,L
298,N
299,O
3,P
30,T
300,P
301,L
302,O
303,H
304,T
305,U
306,E
307,U
308,X
309,M
31,H
310,E
311,T
312,T
313,A
314,E
315,V
316,U
317,T
318,A
319,E
32,E
320,I
321,I
322,S
323,L
324,I
325,E
326,I
327,R
328,L
329,K
33,I
330,T
331,N
332,F
333,G
334,Y
335,I
336,N
337,T
338,E
339,U
34,A
340,T
341,O
342,N
343,S
344,T
345,H
346,R
347,T
348,R
349,O
35,F
350,R
351,I
352,H
353,R
354,S
355,Y
356,L
357,C
358,C
359,N
36,E
360,S
361,I
362,A
363,F
364,D
365,F
366,Y
367,O
368,N
369,P
37,C
370,Z
371,S
372,H
373,M
374,N
375,O
376,O
377,E
378,D
379,N
38,G
380,E
381,I
382,O
383,I
384,C
385,D
386,U
387,S
388,I
389,L
39,R
390,A
391,A
392,N
393,R
394,E
395,O
396,M
397,I
398,L
399,I
4,S
40,I
400,O
401,N
402,O
403,C
404,C
405,R
406,T
407,I
408,E
409,T
41,L
410,N
411,N
412,S
413,A
414,E
415,G
416,E
417,E
418,E
419,I
42,A
420,B
421,O
422,N
423,C
424,D
425,V
426,H
427,P
428,U
429,T
43,A
430,U
431,T
432,O
433,A
434,A
435,S
436,Y
437,L
438,Q
439,N
44,A
440,B
441,T
442,L
443,D
444,E
445,P
446,S
447,O
448,E
449,U
45,T
450,S
451,E
452,F
46,E
47,Y
48,T
49,T
5,H
50,I
51,G
52,W
53,W
54,S
55,H
56,C
57,Y
58,I
59,A
6,T
60,H
61,T
62,I
63,D
64,E
65,A
66,I
67,U
68,I
69,O
7,W
70,I
71,T
72,O
73,E
74,C
75,E
76,H
77,E
78,I
79,T
8,U
80,O
81,S
82,L
83,E
84,Y
85,O
86,U
87,L
88,A
89,U
9,W
90,E
91,S
92,S
93,C
94,C
95,M
96,T
97,U
98,R
99,L
