cipher_symbol,letter
1,D
10,I
100,E
101,T
102,I
103,L
104,A
105,O
106,T
107,O
108,Q
109,E
11,E
110,H
111,I
112,T
113,G
114,T
115,Z
116,P
117,H
118,R
119,B
12,O
120,R
121,N
122,O
123,D
124,T
125,O
126,E
127,L
128,R
129,N
13,D
130,N
131,A
132,G
133,E
134,A
135,S
136,C
137,T
138,E
139,I
14,A
140,T
141,E
142,R
143,S
144,C
145,T
146,I
147,E
148,L
149,L
15,E
150,A
151,E
152,M
153,I
154,S
155,I
156,E
157,B
158,E
159,S
16,L
160,F
161,T
162,Y
163,D
164,R
165,U
166,F
167,M
168,A
169,E
17,J
170,I
171,E
172,T
173,O
174,N
175,S
176,T
177,M
178,V
179,W
18,E
180,C
181,O
182,V
183,K
184,N
185,S
186,N
187,G
188,A
189,R
19,A
190,N
191,D
192,E
193,H
194,H
195,S
196,Y
197,L
198,N
199,E
2,T
20,L
200,R
201,Y
202,E
203,R
204,O
205,O
206,A
207,G
208,E
209,L
21,R
210,H
211,R
212,T
213,T
214,W
22,U
23,H
24,C
25,D
26,E
27,I
28,O
29,S
3,T
30,N
31,E
32,S
33,O
34,U
35,T
36,D
37,Y
38,H
39,B
4,A
40,F
41,P
42,W
43,U
44,S
45,X
46,Y
47,H
48,V
49,I
5,S
50,H
51,A
52,D
53,S
54,N
55,H
56,E
57,I
58,A
59,E
6,T
60,A
61,T
62,T
63,W
64,N
65,U
66,I
67,E
68,D
69,L
7,H
70,A
71,E
72,R
73,O
74,L
75,A
76,T
77,R
78,S
79,O
8,P
80,U
81,O
82,N
83,T
84,H
85,R
86,O
87,N
88,I
89,H
9,O
90,N
91,H
92,E
93,H
94,L
95,B
96,A
97,L
98,R
99,C
