cipher_symbol,letter
1,T
10,E
100,E
101,B
102,O
103,R
104,E
105,S
106,E
107,W
108,N
109,C
11,L
110,A
111,S
112,N
113,A
114,T
115,H
116,S
117,I
118,T
119,R
12,N
120,M
121,S
122,I
123,S
124,D
125,U
126,E
127,O
128,S
129,F
13,A
130,S
131,R
132,R
133,D
134,T
135,I
136,N
137,R
138,I
139,E
14,N
140,E
141,W
142,I
143,O
144,O
145,E
146,T
147,N
148,H
149,E
15,H
150,N
151,R
152,T
153,T
154,O
155,O
156,O
157,L
158,D
159,R
16,A
160,T
161,N
162,H
163,M
164,A
165,E
166,T
167,E
168,A
169,D
17,A
170,O
171,O
172,D
173,I
174,R
175,H
176,E
177,T
178,A
179,R
18,L
180,H
181,L
182,A
183,O
184,U
185,S
186,O
187,H
188,K
189,L
19,C
190,M
191,R
192,I
193,E
194,Y
195,A
196,O
197,L
198,F
199,S
2,D
20,T
200,T
201,D
202,O
203,L
204,T
205,A
206,E
207,A
208,T
209,O
21,N
210,T
211,E
212,A
213,E
214,R
215,A
216,A
217,P
218,I
219,P
22,H
220,O
221,N
222,A
223,E
224,S
225,O
226,W
227,I
228,G
229,L
23,D
230,L
231,R
232,U
233,E
234,O
235,G
236,S
237,A
238,M
239,U
24,T
240,F
241,O
242,T
243,O
244,I
245,R
246,L
247,R
248,O
249,R
25,E
250,F
251,G
252,H
253,V
254,I
255,A
256,A
257,S
258,L
259,N
26,R
260,U
261,Y
262,F
263,F
264,A
265,L
266,D
267,D
268,O
269,F
27,T
270,W
271,T
272,L
273,K
274,R
275,N
276,A
277,O
278,I
279,V
28,D
280,H
281,E
282,O
283,R
284,A
285,V
286,E
287,G
288,W
289,S
29,O
290,E
291,G
292,A
293,A
294,R
295,H
296,T
297,T
298,N
299,T
3,N
30,S
300,G
301,E
302,H
303,E
304,L
305,E
306,I
307,D
308,T
309,C
31,E
310,R
311,E
312,D
313,U
314,N
315,O
316,M
317,E
318,T
319,O
32,A
320,M
321,D
322,R
323,E
324,M
325,C
326,U
327,M
328,H
329,G
33,I
330,O
331,S
332,O
333,L
334,T
335,D
336,N
337,N
338,P
339,I
34,P
340,E
341,A
342,N
343,I
344,W
345,R
346,A
347,T
348,I
349,W
35,Z
350,G
351,T
352,S
353,S
354,A
355,B
356,E
357,R
358,S
359,E
36,S
360,E
361,T
362,S
363,C
364,H
365,P
366,Y
367,U
368,L
369,E
37,N
370,G
371,A
372,A
373,R
374,E
375,L
376,A
377,N
378,I
379,E
38,S
380,E
381,W
382,R
383,E
384,I
385,E
386,N
387,G
388,D
389,F
39,Y
390,N
391,M
392,R
393,A
394,I
395,O
396,O
397,Q
398,S
399,D
4,H
40,H
400,D
401,W
402,S
403,V
404,O
405,C
406,A
407,T
408,E
409,S
41,W
410,I
411,D
412,T
413,H
414,F
415,S
416,C
417,A
418,T
419,D
42,A
420,N
421,S
422,G
423,E
424,F
425,E
426,O
427,N
428,P
429,E
43,V
430,I
431,H
432,E
433,O
434,T
435,W
436,O
437,I
438,I
439,A
44,P
440,I
441,U
442,H
443,H
444,E
445,I
446,L
447,Y
448,D
449,R
45,T
450,C
451,G
452,U
453,H
454,Y
455,C
456,H
457,T
458,F
459,B
46,Y
460,K
461,A
462,N
463,N
464,C
465,A
466,R
467,N
468,U
469,T
47,N
470,H
471,D
472,E
473,E
474,N
475,I
476,L
477,H
478,S
479,I
48,I
480,M
481,S
482,E
483,R
484,Y
485,N
486,A
487,E
488,R
489,R
49,E
490,E
491,T
492,I
493,E
494,I
495,R
496,M
497,E
498,N
499,E
5,B
50,J
500,A
501,I
502,L
503,I
504,T
505,H
506,E
507,N
508,Y
509,H
51,E
510,T
52,T
53,E
54,U
55,L
56,C
57,T
58,S
59,H
6,H
60,T
61,E
62,S
63,L
64,A
65,B
66,X
67,B
68,A
69,E
7,E
70,T
71,E
72,E
73,W
74,O
75,I
76,F
77,T
78,R
79,U
8,O
80,E
81,R
82,A
83,D
84,C
85,S
86,O
87,N
88,O
89,E
9,P
90,B
91,S
92,C
93,N
94,H
95,O
96,H
97,H
98,R
99,T
