cipher_symbol,letter
1,N
10,A
100,A
101,E
102,S
103,G
104,H
105,E
106,R
107,S
108,N
109,L
11,T
110,E
111,S
112,A
113,F
114,G
115,F
116,H
117,T
118,L
119,E
12,D
120,A
121,L
122,T
123,R
124,O
125,E
126,L
127,A
128,I
129,O
13,N
130,B
131,I
132,R
133,E
134,U
135,H
136,S
137,H
138,A
139,N
14,Y
140,I
141,F
142,A
143,W
144,D
145,A
146,N
147,S
148,L
149,S
15,U
150,O
151,N
152,D
153,N
154,R
155,T
156,S
157,E
158,A
159,I
16,I
160,N
161,R
162,A
163,E
164,N
165,E
166,A
167,N
168,D
169,F
17,N
170,S
171,A
172,M
173,H
174,S
175,O
176,L
177,O
178,M
179,U
18,Y
180,T
181,A
182,D
183,A
184,C
185,R
186,S
187,W
188,E
189,S
19,I
190,N
191,I
192,E
193,D
194,W
195,T
196,S
197,T
198,T
199,C
2,O
20,U
200,G
201,O
202,O
203,A
204,H
205,A
206,M
207,R
208,A
209,Z
21,D
210,D
211,E
212,P
213,E
214,T
215,R
216,N
217,D
218,H
219,V
22,T
220,G
221,N
222,E
223,T
224,E
225,N
226,I
227,M
228,W
229,H
23,O
230,T
231,N
232,M
233,L
234,Q
235,I
236,L
237,S
238,O
239,N
24,E
240,E
241,A
242,E
243,H
244,L
245,P
246,U
247,T
248,F
249,A
25,E
250,H
251,M
252,A
253,T
254,N
255,D
256,N
257,I
258,C
259,O
26,O
260,R
261,L
262,D
263,E
264,H
265,N
266,T
267,V
268,E
269,B
27,N
270,E
271,T
272,S
273,Y
274,E
275,M
276,T
277,R
278,P
279,T
28,H
280,L
281,O
282,C
283,T
284,I
285,D
286,O
287,T
288,I
289,T
29,S
290,I
291,N
292,E
293,N
294,H
295,H
296,W
297,C
298,T
299,H
3,L
30,T
300,E
301,G
302,L
303,O
304,S
305,T
306,D
307,S
308,R
309,N
31,A
310,O
311,L
312,I
313,P
314,D
315,G
316,O
317,D
318,Y
319,A
32,T
320,P
321,I
322,E
323,D
324,E
325,E
326,R
327,S
328,C
329,F
33,I
330,C
331,E
332,O
333,A
334,E
335,E
336,A
337,T
338,C
339,O
34,S
340,N
341,E
342,O
343,R
344,E
345,H
346,I
347,F
348,I
349,U
35,H
350,H
351,N
352,R
353,R
354,A
355,C
356,I
357,T
358,D
359,A
36,S
360,H
361,S
362,E
363,D
364,G
365,R
366,A
367,S
368,O
369,I
37,S
370,O
371,E
372,H
373,E
374,E
375,S
376,R
377,Y
378,O
379,R
38,A
380,G
381,E
382,N
383,M
384,L
385,O
386,N
387,E
388,E
389,N
39,E
390,T
391,I
392,B
393,A
394,T
395,I
396,U
397,D
398,E
399,S
4,D
40,O
400,A
401,H
402,W
403,E
404,O
405,D
406,S
407,H
408,E
409,D
41,A
410,C
411,I
412,E
413,G
414,J
415,Y
416,K
417,N
418,V
419,A
42,E
420,G
421,N
422,M
423,K
424,N
425,G
426,A
427,E
428,N
429,O
43,T
430,T
431,B
432,H
433,F
434,B
435,R
436,F
437,C
438,S
439,I
44,B
440,N
441,G
442,R
443,N
444,A
445,T
446,C
447,A
448,H
449,U
45,R
450,L
451,Y
452,S
453,T
454,B
455,I
456,E
457,E
458,W
459,T
46,A
460,O
461,W
462,A
463,H
464,S
465,N
466,E
467,E
468,T
469,O
47,D
470,M
471,M
472,T
473,B
474,O
475,U
476,I
477,A
478,L
479,N
48,A
480,D
481,O
482,L
483,W
484,E
485,E
486,G
487,O
488,O
489,I
49,H
490,H
491,Y
492,L
493,T
494,O
495,T
496,E
497,U
498,W
499,E
5,O
50,O
500,E
501,D
502,H
503,R
504,E
505,E
506,A
507,H
508,E
509,A
51,I
510,W
511,E
512,E
513,N
514,A
515,K
516,E
517,U
518,N
519,S
52,E
520,P
521,E
522,I
523,W
524,O
525,A
526,M
527,A
528,O
529,P
53,M
530,X
531,G
532,E
533,R
534,O
535,I
536,R
537,T
538,L
539,R
54,L
540,F
541,D
542,H
543,S
544,K
545,T
546,S
547,T
548,M
549,I
55,S
550,W
551,E
552,W
553,I
554,D
555,R
556,F
557,N
558,O
559,E
56,H
560,N
561,A
562,P
563,H
564,R
565,F
566,H
567,A
568,E
569,T
57,S
570,A
571,F
572,T
58,I
59,U
6,U
60,R
61,R
62,U
63,P
64,E
65,R
66,T
67,E
68,R
69,T
7,N
70,N
71,H
72,O
73,T
74,R
75,U
76,E
77,A
78,S
79,B
8,D
80,T
81,H
82,D
83,H
84,D
85,W
86,E
87,I
88,M
89,S
9,H
90,O
91,H
92,T
93,P
94,O
95,N
96,V
97,N
98,T
99,E
