cipher_symbol,letter
1,B
10,E
100,F
1000,T
1001,O
1002,M
1003,I
1004,W
1005,R
1006,R
1007,I
1008,L
1009,N
101,E
1010,R
1011,N
1012,O
1013,K
1014,L
1015,E
1016,E
1017,D
1018,H
1019,N
102,R
1020,E
1021,E
1022,U
1023,E
1024,I
1025,U
1026,O
1027,I
1028,M
1029,Y
103,E
1030,O
1031,P
1032,D
1033,E
1034,Y
1035,P
1036,C
1037,S
1038,E
1039,L
104,U
1040,T
1041,E
1042,B
1043,Y
1044,H
1045,A
1046,F
1047,F
1048,A
1049,O
105,I
1050,H
1051,T
1052,W
1053,E
1054,T
1055,C
1056,R
1057,H
1058,I
1059,T
106,W
1060,T
1061,K
1062,Y
1063,L
1064,H
1065,N
1066,U
1067,G
1068,S
1069,U
107,D
1070,N
1071,F
1072,S
1073,T
1074,E
1075,T
1076,I
1077,N
1078,I
1079,O
108,T
1080,E
1081,N
1082,S
1083,O
1084,A
1085,T
1086,S
1087,R
1088,O
1089,E
109,F
1090,K
1091,H
1092,N
1093,A
1094,U
1095,E
1096,L
1097,N
1098,O
1099,I
11,B
110,I
1100,I
1101,W
1102,L
1103,S
1104,T
1105,E
1106,E
1107,H
1108,S
1109,O
111,E
1110,N
1111,E
1112,O
1113,O
1114,O
1115,E
1116,I
1117,F
1118,I
1119,H
112,H
113,T
114,T
115,D
116,O
117,G
118,E
119,S
12,O
120,K
121,W
122,H
123,B
124,G
125,D
126,E
127,R
128,E
129,T
13,A
130,E
131,D
132,I
133,E
134,T
135,S
136,T
137,L
138,E
139,I
14,Y
140,Y
141,N
142,S
143,L
144,O
145,C
146,I
147,U
148,L
149,H
15,I
150,F
151,O
152,R
153,O
154,C
155,F
156,T
157,T
158,E
159,I
16,S
160,I
161,R
162,S
163,N
164,N
165,D
166,H
167,T
168,M
169,N
17,L
170,O
171,O
172,E
173,T
174,S
175,M
176,T
177,R
178,E
179,A
18,O
180,N
181,O
182,T
183,W
184,O
185,H
186,E
187,W
188,E
189,I
19,A
190,R
191,S
192,V
193,R
194,T
195,E
196,G
197,H
198,H
199,P
2,L
20,S
200,N
201,B
202,G
203,A
204,T
205,P
206,D
207,E
208,Y
209,L
21,W
210,T
211,M
212,D
213,H
214,P
215,A
216,W
217,F
218,A
219,E
22,W
220,K
221,H
222,R
223,O
224,A
225,T
226,E
227,I
228,D
229,D
23,E
230,A
231,D
232,A
233,A
234,D
235,L
236,O
237,W
238,M
239,O
24,I
240,O
241,T
242,T
243,T
244,B
245,E
246,B
247,S
248,M
249,D
25,Z
250,L
251,U
252,S
253,A
254,H
255,O
256,Y
257,E
258,H
259,W
26,A
260,X
261,E
262,N
263,M
264,Y
265,S
266,N
267,S
268,E
269,A
27,S
270,I
271,A
272,H
273,G
274,H
275,L
276,S
277,S
278,A
279,A
28,D
280,T
281,S
282,Y
283,T
284,A
285,T
286,E
287,P
288,L
289,O
29,F
290,N
291,U
292,O
293,K
294,A
295,D
296,F
297,D
298,T
299,S
3,L
30,U
300,O
301,T
302,D
303,O
304,N
305,I
306,O
307,E
308,L
309,A
31,N
310,E
311,R
312,R
313,S
314,R
315,E
316,H
317,O
318,A
319,N
32,G
320,R
321,T
322,Y
323,I
324,S
325,T
326,T
327,T
328,N
329,O
33,E
330,E
331,A
332,R
333,E
334,D
335,G
336,L
337,T
338,B
339,A
34,E
340,U
341,A
342,B
343,C
344,I
345,I
346,G
347,T
348,T
349,A
35,D
350,I
351,O
352,T
353,F
354,E
355,W
356,T
357,M
358,G
359,H
36,A
360,K
361,O
362,S
363,U
364,E
365,E
366,W
367,E
368,A
369,H
37,S
370,L
371,H
372,T
373,E
374,I
375,O
376,N
377,X
378,L
379,U
38,A
380,F
381,O
382,R
383,D
384,I
385,O
386,U
387,E
388,S
389,S
39,E
390,N
391,L
392,N
393,A
394,A
395,G
396,S
397,L
398,C
399,I
4,N
40,H
400,S
401,Y
402,N
403,O
404,H
405,S
406,C
407,O
408,N
409,M
41,L
410,W
411,O
412,O
413,Y
414,E
415,B
416,O
417,A
418,M
419,A
42,C
420,R
421,S
422,A
423,S
424,H
425,T
426,E
427,S
428,I
429,R
43,A
430,A
431,E
432,H
433,U
434,W
435,N
436,N
437,H
438,T
439,P
44,T
440,E
441,I
442,A
443,P
444,H
445,I
446,W
447,H
448,I
449,N
45,F
450,T
451,S
452,O
453,A
454,T
455,W
456,N
457,O
458,U
459,E
46,O
460,D
461,D
462,N
463,D
464,S
465,T
466,O
467,A
468,B
469,E
47,I
470,O
471,P
472,G
473,A
474,A
475,V
476,H
477,E
478,U
479,C
48,D
480,W
481,A
482,S
483,G
484,A
485,N
486,T
487,E
488,L
489,E
49,I
490,W
491,R
492,L
493,T
494,H
495,G
496,D
497,Y
498,L
499,N
5,R
50,N
500,A
501,B
502,T
503,T
504,L
505,A
506,L
507,O
508,U
509,E
51,Y
510,F
511,L
512,N
513,T
514,T
515,W
516,V
517,W
518,E
519,L
52,N
520,H
521,W
522,M
523,D
524,T
525,I
526,P
527,H
528,A
529,L
53,A
530,O
531,I
532,L
533,H
534,O
535,F
536,E
537,L
538,R
539,H
54,G
540,N
541,L
542,N
543,T
544,N
545,I
546,H
547,H
548,G
549,G
55,T
550,L
551,A
552,E
553,S
554,P
555,H
556,E
557,D
558,S
559,C
56,W
560,O
561,C
562,A
563,T
564,G
565,T
566,T
567,R
568,A
569,E
57,S
570,F
571,D
572,C
573,U
574,R
575,O
576,P
577,A
578,O
579,N
58,D
580,S
581,I
582,E
583,O
584,O
585,A
586,D
587,R
588,O
589,G
59,T
590,R
591,R
592,K
593,H
594,S
595,O
596,A
597,N
598,N
599,T
6,W
60,S
600,T
601,H
602,N
603,W
604,A
605,L
606,A
607,A
608,E
609,B
61,E
610,N
611,I
612,D
613,H
614,W
615,U
616,E
617,L
618,G
619,T
62,T
620,M
621,T
622,A
623,E
624,A
625,E
626,I
627,P
628,H
629,R
63,F
630,N
631,O
632,L
633,E
634,N
635,U
636,T
637,E
638,B
639,C
64,R
640,N
641,H
642,E
643,H
644,H
645,L
646,E
647,M
648,H
649,H
65,O
650,N
651,A
652,K
653,I
654,D
655,T
656,H
657,I
658,W
659,N
66,S
660,Y
661,D
662,U
663,M
664,O
665,T
666,O
667,N
668,N
669,T
67,R
670,O
671,E
672,E
673,T
674,T
675,T
676,O
677,A
678,E
679,R
68,H
680,A
681,N
682,N
683,E
684,P
685,T
686,D
687,S
688,N
689,O
69,D
690,D
691,R
692,I
693,H
694,R
695,I
696,A
697,E
698,V
699,P
7,T
