cipher_symbol,letter
1,W
10,F
100,U
101,I
102,G
103,S
104,J
105,S
106,I
107,I
108,L
109,C
11,A
110,K
111,I
112,A
113,E
114,T
115,O
116,T
117,X
118,C
119,I
12,N
120,N
121,T
122,W
123,N
124,N
125,T
126,B
127,T
128,E
129,T
13,P
130,A
131,D
132,I
133,S
134,I
135,B
136,R
137,O
138,M
139,A
14,A
140,I
141,E
142,E
143,T
144,N
145,L
146,T
147,O
148,H
149,Y
15,O
150,O
151,E
152,R
153,D
154,E
155,P
156,H
157,N
158,S
159,I
16,E
160,H
161,F
162,I
163,H
164,O
165,N
166,C
167,N
168,S
169,G
17,E
170,T
171,L
172,D
173,R
174,D
175,O
176,A
177,N
178,V
179,O
18,N
180,T
181,T
182,R
183,C
184,A
185,D
186,P
187,I
188,D
189,A
19,E
190,R
191,N
192,S
193,H
194,R
195,A
196,U
197,E
198,E
199,R
2,O
20,N
200,O
201,H
202,T
203,R
204,I
205,R
206,H
207,S
208,I
209,D
21,S
210,E
211,M
212,O
213,T
214,E
215,E
216,H
217,M
218,L
219,W
22,O
220,D
221,A
222,S
223,S
224,H
225,R
226,T
227,M
228,H
229,G
23,Y
230,W
231,T
232,D
233,N
234,O
235,E
236,N
237,E
238,G
239,V
24,E
240,C
241,E
242,B
243,L
244,W
245,H
246,S
247,Q
248,E
249,N
25,M
250,R
251,F
252,R
253,R
254,W
255,W
256,D
257,E
258,P
259,M
26,E
260,U
261,A
262,O
263,C
264,U
265,E
266,E
267,O
268,O
269,S
27,O
270,T
271,T
272,S
273,F
274,N
275,T
276,O
277,H
278,D
279,D
28,H
280,C
281,W
282,Y
283,L
284,A
285,L
286,H
287,O
288,K
289,L
29,E
290,A
291,E
292,R
293,N
3,A
30,U
31,H
32,R
33,E
34,N
35,E
36,O
37,T
38,S
39,A
4,U
40,H
41,E
42,O
43,H
44,E
45,N
46,K
47,I
48,P
49,E
5,H
50,L
51,E
52,T
53,T
54,W
55,E
56,I
57,H
58,L
59,S
6,Y
60,R
61,A
62,I
63,A
64,I
65,U
66,F
67,R
68,D
69,R
7,H
70,E
71,O
72,E
73,I
74,T
75,A
76,S
77,G
78,E
79,F
8,U
80,A
81,S
82,I
83,T
84,A
85,O
86,E
87,T
88,T
89,T
9,T
90,A
91,A
92,L
93,N
94,V
95,A
96,U
97,E
98,I
99,S
