cipher_symbol,letter
1,R
10,U
100,T
101,U
102,I
103,U
104,T
105,B
106,T
107,S
108,I
109,E
11,I
110,I
111,J
112,X
113,L
114,F
115,O
116,I
117,T
118,P
119,R
12,E
120,D
121,P
122,U
123,H
124,P
125,N
126,B
127,N
128,C
129,B
13,N
130,O
131,R
132,E
133,E
134,S
135,E
136,E
137,Y
138,T
139,A
14,T
140,G
141,S
142,N
143,T
144,R
145,O
146,W
147,A
148,H
149,S
15,R
150,E
151,E
152,E
153,E
154,A
155,G
156,E
157,G
158,E
159,E
16,T
160,G
161,G
162,E
163,P
164,A
165,R
166,O
167,E
168,Y
169,S
17,E
170,N
171,Y
172,T
173,E
174,A
175,R
176,R
177,T
178,M
179,P
18,S
180,T
181,O
182,T
183,I
184,A
185,C
186,E
187,S
188,O
189,C
19,T
190,O
191,I
192,E
193,T
194,T
195,O
196,K
197,G
198,E
199,E
2,O
20,O
200,A
201,C
202,O
203,S
204,I
205,E
206,B
207,O
208,N
209,V
21,E
210,E
211,T
212,C
213,Y
214,H
215,P
216,H
217,W
218,E
219,S
22,O
220,I
221,T
222,W
223,S
224,U
225,S
226,O
227,S
228,R
229,W
23,R
230,T
231,N
232,H
233,H
234,A
235,P
236,U
237,N
238,O
239,W
24,R
240,E
241,K
242,U
243,F
244,A
245,T
246,Y
247,H
248,G
249,O
25,F
250,G
251,M
252,R
253,L
254,N
255,O
256,N
257,N
258,N
259,O
26,D
260,R
261,I
262,T
263,E
264,T
265,O
266,L
267,T
268,E
269,M
27,W
270,N
271,A
272,S
273,T
274,D
275,H
276,M
277,P
278,T
279,N
28,I
280,L
281,O
282,D
283,E
284,N
285,D
286,Q
287,E
288,P
289,C
29,N
3,I
30,H
31,D
32,A
33,V
34,U
35,M
36,H
37,L
38,A
39,J
4,I
40,R
41,R
42,O
43,R
44,F
45,I
46,O
47,D
48,D
49,E
5,E
50,O
51,T
52,O
53,N
54,N
55,C
56,R
57,Y
58,R
59,A
6,L
60,C
61,A
62,H
63,A
64,A
65,H
66,E
67,R
68,R
69,R
7,C
70,T
71,R
72,O
73,O
74,I
75,N
76,S
77,C
78,A
79,O
8,T
80,U
81,K
82,I
83,R
84,D
85,S
86,F
87,I
88,I
89,E
9,L
90,F
91,L
92,E
93,M
94,T
95,Y
96,I
97,A
98,I
99,C
