cipher_symbol,letter
1,O
10,E
100,W
101,E
102,L
103,T
104,N
105,S
106,G
107,A
108,E
109,D
11,R
110,L
111,E
112,H
113,S
114,T
115,N
116,E
117,A
118,T
119,B
12,N
120,H
121,S
122,E
123,R
124,S
125,E
126,H
127,T
128,U
129,W
13,S
130,L
131,D
132,D
133,S
134,E
135,U
136,S
137,M
138,E
139,O
14,G
140,N
141,Y
142,L
143,A
144,H
145,E
146,I
147,H
148,S
149,B
15,I
150,R
151,H
152,T
153,S
154,W
155,F
156,T
157,C
158,T
159,A
16,H
160,O
161,Y
162,A
163,L
164,M
165,O
166,P
167,A
168,U
169,F
17,A
170,H
171,E
172,D
173,H
174,G
175,W
176,D
177,H
178,E
179,J
18,C
180,L
181,T
182,O
183,T
184,Q
185,E
186,R
187,O
188,N
189,A
19,N
190,R
191,T
192,H
193,E
194,H
195,L
196,T
197,E
198,E
199,C
2,O
20,S
200,L
201,N
202,L
203,I
204,T
205,H
206,O
207,B
208,N
209,N
21,L
210,O
211,S
212,S
213,E
214,A
215,S
216,S
217,A
218,O
219,H
22,N
220,D
221,O
222,T
223,T
224,F
225,L
226,E
227,E
228,I
229,N
23,N
230,R
231,U
232,G
233,T
234,P
235,I
236,S
237,L
238,K
239,F
24,O
240,U
241,G
242,L
243,L
244,O
245,G
246,T
247,A
248,E
249,D
25,S
250,C
251,T
252,E
253,T
254,E
255,M
256,E
257,D
258,U
259,E
26,E
260,R
261,L
262,I
263,T
264,R
265,W
266,T
267,O
268,I
269,E
27,E
270,T
271,E
272,I
273,O
274,O
275,A
276,K
277,D
278,O
279,O
28,A
280,A
281,A
282,A
283,H
284,R
285,A
286,O
287,L
288,N
289,E
29,I
290,T
291,H
292,O
293,T
294,T
295,L
296,H
297,A
298,M
299,K
3,E
30,I
300,E
301,H
302,H
303,P
304,A
305,T
306,H
307,E
308,A
309,S
31,R
310,M
311,E
312,A
313,N
314,C
315,C
316,F
317,E
318,S
319,B
32,W
320,E
321,I
322,A
323,N
324,S
325,H
326,A
327,L
328,U
329,A
33,T
330,D
331,G
332,E
333,W
334,W
335,V
336,O
337,R
338,E
339,M
34,S
340,S
341,N
342,F
343,K
344,E
345,A
346,N
347,U
348,D
349,N
35,P
350,N
351,N
352,R
353,W
354,B
355,A
356,V
357,S
358,Y
359,E
36,L
360,O
361,O
362,E
363,T
364,Y
365,E
366,F
367,S
368,H
369,A
37,E
370,A
371,N
372,M
373,S
374,C
375,N
376,S
377,A
378,O
379,N
38,N
380,M
381,A
382,M
383,A
384,T
385,E
386,C
387,O
388,D
389,L
39,D
390,H
391,A
392,C
393,E
394,D
395,S
396,A
397,N
398,D
399,H
4,O
40,I
400,U
401,O
402,S
403,E
404,L
405,O
406,E
407,I
408,M
409,E
41,E
410,O
411,O
412,Y
413,H
414,R
415,N
416,H
417,H
418,E
419,F
42,V
420,T
421,G
422,H
423,R
424,F
425,W
426,S
427,T
428,F
429,H
43,D
430,R
431,D
432,I
433,C
434,R
435,B
436,A
437,E
438,I
439,T
44,O
440,E
441,N
442,G
443,H
444,I
445,G
446,T
447,T
448,R
449,I
45,N
450,A
451,D
452,D
453,G
454,H
455,E
456,I
457,R
458,T
459,O
46,H
460,E
461,E
462,I
463,W
464,O
465,T
466,F
467,A
468,P
469,E
47,E
470,O
471,C
472,E
473,I
474,C
475,T
476,P
477,A
478,O
479,N
48,H
480,T
481,I
482,M
483,B
484,I
485,R
486,D
487,H
488,R
489,I
49,I
490,R
491,R
492,I
493,T
494,R
495,R
496,T
497,R
498,N
499,E
5,L
50,L
500,C
501,N
502,G
503,A
504,E
505,H
506,H
507,P
508,E
509,O
51,I
510,C
511,R
512,N
513,U
514,E
515,T
516,A
517,A
518,L
519,N
52,U
520,H
521,T
522,I
523,I
524,W
525,Z
526,L
527,T
528,R
529,S
53,E
530,S
531,U
532,R
533,E
534,T
535,R
536,T
537,A
538,R
539,H
54,H
540,D
541,W
542,T
543,R
544,L
545,G
546,F
547,I
548,A
549,S
55,D
550,R
551,D
552,N
553,R
554,R
555,A
556,V
557,E
558,I
559,N
56,I
560,O
561,B
562,D
563,A
564,M
565,H
566,N
567,R
568,I
569,E
57,L
570,D
571,L
572,E
573,G
574,T
575,W
576,I
577,R
578,N
579,G
58,N
580,D
581,U
582,A
583,G
584,T
585,R
586,T
587,E
588,O
589,Y
59,O
590,H
591,O
592,H
593,H
594,N
595,T
596,O
597,O
598,E
599,T
6,A
60,E
600,R
601,T
602,T
603,T
604,E
605,H
606,I
607,S
608,I
609,E
61,E
610,D
611,H
612,H
613,O
614,H
615,E
616,E
617,T
618,E
619,T
62,D
620,W
621,D
622,X
623,A
624,P
625,E
626,R
627,M
628,M
629,W
63,M
630,N
631,E
632,I
633,S
634,S
635,T
636,H
637,S
638,T
639,I
64,S
640,A
641,H
642,D
65,E
66,O
67,Y
68,I
69,I
7,I
70,O
71,N
72,E
73,A
74,N
75,G
76,Y
77,E
78,R
79,O
8,I
80,A
81,Y
82,B
83,T
84,D
85,S
86,R
87,L
88,Y
89,N
9,F
90,U
91,I
92,O
93,K
94,H
95,O
96,G
97,D
98,T
99,A
