cipher_symbol,letter
1,E
10,E
100,A
101,T
102,T
103,S
104,U
105,H
106,O
107,O
108,N
109,T
11,H
110,E
111,N
112,T
113,S
114,E
115,I
116,D
117,D
118,T
119,O
12,R
120,S
121,E
122,H
123,D
124,N
125,A
126,Y
127,T
128,M
129,N
13,A
130,E
131,E
132,H
133,O
134,N
135,R
136,P
137,D
138,O
139,C
14,O
140,E
141,T
142,T
143,O
144,L
145,O
146,T
147,E
148,R
149,Y
15,W
150,D
151,I
152,S
153,X
154,F
155,N
156,C
157,Y
158,I
159,A
16,T
160,N
161,L
162,T
163,D
164,N
165,L
166,H
167,E
168,H
169,E
17,I
170,T
171,M
172,K
173,W
174,A
175,E
176,I
177,G
178,R
179,A
18,N
180,S
181,O
182,A
183,S
184,Q
185,D
186,E
187,C
188,N
189,C
19,U
190,I
191,O
192,G
193,C
194,S
195,A
196,I
197,G
198,O
199,O
2,N
20,G
200,T
201,A
202,T
203,M
204,J
205,I
206,C
207,I
208,D
209,U
21,W
210,W
211,T
212,T
213,R
214,M
215,T
216,C
217,I
218,U
219,A
22,R
220,A
221,N
222,S
223,F
224,T
225,S
226,S
227,T
228,Z
229,N
23,I
230,D
231,R
232,B
233,I
234,T
235,H
236,T
237,B
238,S
239,O
24,A
240,L
241,H
242,N
243,O
244,E
245,A
246,T
247,A
248,H
249,G
25,W
250,E
251,O
252,M
253,N
254,E
255,N
256,Y
257,E
258,N
259,A
26,E
260,P
261,E
262,E
263,L
264,L
265,E
266,M
267,O
268,E
269,S
27,D
270,Y
271,E
272,G
273,L
274,I
275,G
276,I
277,P
278,E
279,O
28,O
280,E
281,F
282,I
283,A
284,I
285,H
286,E
287,Y
288,E
289,D
29,E
290,L
291,M
292,W
293,N
294,H
295,D
296,R
297,A
298,T
299,P
3,O
30,T
300,I
301,E
302,I
303,H
304,Y
305,I
306,S
307,W
308,U
309,A
31,T
310,T
311,L
312,T
313,C
314,R
315,U
316,I
317,T
318,S
319,U
32,O
320,V
321,E
322,A
323,L
324,D
325,I
326,G
327,T
328,G
329,S
33,M
330,S
331,E
332,I
333,I
334,L
335,H
336,F
337,T
338,M
339,D
34,I
340,R
341,T
342,R
343,S
344,V
345,P
346,H
347,O
348,O
349,A
35,K
350,O
351,E
352,R
353,I
354,A
355,O
356,O
357,O
358,B
359,F
36,F
360,E
361,H
362,A
363,N
364,T
365,A
366,H
367,H
368,A
369,W
37,D
370,H
371,L
372,E
373,P
374,D
375,V
376,A
377,E
378,U
379,B
38,R
380,H
381,S
382,T
383,E
384,R
385,T
386,A
387,O
388,E
389,C
39,I
390,L
391,E
392,T
393,H
394,U
395,I
396,L
397,H
398,E
399,R
4,K
40,E
400,R
401,I
402,P
403,N
404,N
405,Y
406,W
407,A
408,D
409,R
41,E
410,C
411,N
412,S
413,B
414,A
415,A
416,A
417,O
418,L
419,C
42,H
420,O
421,I
422,R
423,S
424,D
425,M
426,G
43,S
44,E
45,N
46,E
47,T
48,N
49,E
5,E
50,E
51,W
52,T
53,A
54,N
55,V
56,E
57,C
58,E
59,O
6,N
60,I
61,M
62,N
63,L
64,M
65,E
66,E
67,T
68,D
69,E
7,N
70,H
71,R
72,A
73,E
74,T
75,B
76,S
77,S
78,G
79,O
8,A
80,A
81,R
82,S
83,O
84,N
85,I
86,F
87,N
88,P
89,T
9,K
90,W
91,R
92,L
93,R
94,F
95,I
96,A
97,R
98,D
99,E
