cipher_symbol,letter
1,M
10,L
100,T
101,N
102,T
103,U
104,L
105,E
106,N
107,E
108,H
109,E
11,A
110,T
111,C
112,O
113,H
114,Z
115,D
116,O
117,J
118,L
119,F
12,G
120,O
121,C
122,H
123,L
124,I
125,P
126,N
127,O
128,I
129,M
13,A
130,P
131,O
132,N
133,N
134,F
135,D
136,I
137,H
138,Q
139,R
14,S
140,B
141,X
142,G
143,Y
144,E
145,E
146,T
147,T
148,E
149,H
15,T
150,R
151,S
152,E
153,A
154,E
155,T
156,M
157,H
158,H
159,T
16,I
160,D
161,A
162,F
163,T
164,W
165,A
166,U
167,E
168,D
169,A
17,E
170,I
171,R
172,T
173,C
174,S
175,E
176,A
177,I
178,S
179,H
18,O
180,L
181,T
182,I
183,O
184,E
185,W
186,U
187,S
188,T
189,E
19,E
190,R
2,S
20,L
21,C
22,G
23,E
24,O
25,E
26,B
27,S
28,E
29,G
3,V
30,R
31,E
32,S
33,N
34,O
35,H
36,A
37,R
38,M
39,F
4,D
40,O
41,Y
42,S
43,L
44,H
45,E
46,Y
47,E
48,S
49,N
5,H
50,V
51,S
52,N
53,I
54,O
55,I
56,M
57,A
58,I
59,R
6,A
60,R
61,A
62,O
63,A
64,N
65,A
66,D
67,L
68,T
69,R
7,N
70,T
71,H
72,E
73,F
74,E
75,E
76,R
77,M
78,I
79,T
8,U
80,A
81,T
82,A
83,W
84,D
85,P
86,O
87,A
88,W
89,A
9,E
90,O
91,N
92,S
93,U
94,K
95,I
96,Y
97,R
98,T
99,C
